Descriptor	Semantic group	Definition	MoSCoW	Example: based on the following synthetic dataset  https://www.kaggle.com/datasets/uciml/breast-cancer-wisconsin-data. Where there is not information, we added made up a value example for the sake of clarity of what it can be added per metadata descriptor (cells in green).	Ontology (EDAM or OBO)	Ontology term IRI	EDAM term (for the values)	EDAM IRI	Bioschemas/schema.org property	Bioschemas marginality	Bioschemas cardinality	Bioschemas JSON example
Organism taxonomic identifier	Dataset	Taxonomy identifier curated by the NCBI Taxonomy (search for organism IDs here: https://www.ncbi.nlm.nih.gov/taxonomy; or use the OLS: https://www.ebi.ac.uk/ols/ontologies/ncbitaxon). You can find further details at 'https://www.uniprot.org/help/taxonomic_identifier'.	S	9606	EDAM	EDAM:data_1869	NCBI taxonomy ID	http://edamontology.org/data_1869	isBasedOn	recommended	many	isBasedOn: [{"@type": "Taxon", "name":"Homo Sapiens", "identifier": "http://purl.obolibrary.org/obo/NCBITaxon_9606", "taxonRank": "https://www.wikidata.org/wiki/Q7432", "alternateName": "human"}]"
Biological sex	Dataset	An organismal quality inhering in a bearer by virtue of the bearer's ability to undergo sexual reproduction in order to differentiate the individuals or types involved.	S	Female	PATO	PATO:0000047	biological sex	http://purl.obolibrary.org/obo/PATO_0000047	variableMeasured	recommended	many	variableMeasured : [{"@type": "PropertyValue", "name": "biological sex", "propertyID":"http://purl.obolibrary.org/obo/PATO_0000047","value": "female"}]"
Age range	Dataset	A descriptor that defines a group by a range of the time quality inhering in each bearer of the group by virtue of how long the bearer has existed.	S	0-122 years	PATO	PATO:0000011	http://purl.obolibrary.org/obo/PATO_0000011	NEW (to discuss with EDAM developers)	variableMeasured	recommended	many	variableMeasured : [{"@type": "PropertyValue", "name": "Age", "value": 32, "unitText": "year"}, "variableMeasured" : {"@type": "PropertyValue", "name": "Age", "value": "adult"}]"
Sample size	Dataset	Statistical sample size is a count evaluating the number of individual experimental units	S	10,000	STATO	STATO:0000088		potential addition to EDAM	variableMeasured	recommended	many	variableMeasured : [{"@type": "PropertyValue", "name": "Sample size", "value": 10}]"
Instance type	Dataset	The role played by an entity part of study group as defined by an experimental design and realized in a data analysis and data interpretation such as patients, physical samples, tissue cultures, cell nuclei, blood samples, cells, temperature measurements	M	cell nuclei	DC	DC:subject	subject	http://purl.org/dc/elements/1.1/subject	keywords	minimal	many	see Topic example
Number of attributes	Dataset	Number of sample's information carriers that can be measured, observed, or logged.	S	32	IAO	IAO:0000030		potential addition to EDAM	variableMeasured	recommended	many	variableMeasured : {"@type": "PropertyValue", "name": "Number of Attributes", "value": 32}"
File type (format)	Dataset	The main format in which data is structured and represented in an electronic file. It is normally defined by the file extension of the file (e.g. FASTQ for a '.fastq' file).	S	CSV	EDAM	EDAM:format_1915	format	http://edamontology.org/format_1915	distribution.encodingFormat	recommended	many	distribution: [{"@type":"DataDownload","encodingFormat":"CSV"},{"@type":"DataDownload","encodingFormat":"http://edamontology.org/format_3752"}]"
Article ID	Dataset	Unique identifier of the scientific article where the creation of the synthetic dataset is described such as PMID or DOI of the publication	C	PMID:34261535	EDAM	EDAM:data_1088	article ID	http://edamontology.org/data_1088	citation.identifier	recommended	many	citation: [{"@type":"CreativeWork","identifier":"https://doi.org/10.1093/bioinformatics/btac205"}]"
Tool/Code resource ID	Tool	Unique and persistent identifier of an external resource where the tool (its documentation or code) is hosted. It should be uniquely resolvable (e.g. either be a URI, or a Compact URI resolvable against identifiers.org).	C	https://www.kaggle.com/code/berkemk/breast-cancer-prediction-svc; biotools:odm-clinical-data-generator	EDAM	EDAM:data_0977	Tool identifier	http://edamontology.org/data_0977	isBasedOn	recommended	many	isBasedOn: ["https://www.kaggle.com/code/berkemk/breast-cancer-prediction-svc; biotools:odm-clinical-data-generator"]"
Language	Dataset	Structured system of communication in which the dataset is defined	C	English	XML	XML:lang		xml:lang	inLanguage	optional	many	inLanguage:"English"
Assay type	Provenance	The general categories (e.g. Single Cell Sequencing) of the used assay instrument to generate the original data.	C	Cell imaging	EDAM	EDAM:topic_3361	Laboratory techniques	http://edamontology.org/topic_3361	measurementTechnique	recommended	many	measurementTechnique:["http://edamontology.org/topic_3383", "Affymetrix"]"
Attribute type	Dataset	A descriptor that refers to the type of variables in a dataset indicating whether the variable is a mixture of different types, a numerical value, or a categorical label	C	Mixed: numerical and categorical	NCIT	NCIT:C20189		potential addition to EDAM	variableMeasured	recommended	many	variableMeasured : {"@type": "PropertyValue", "name": "Attribute type", "value": "Mixed: numerical and categorical"}"
Percentage of missing attribute values	Dataset	Percentage of missing values in the entire dataset, i.e., total number of missing values divided by total number of values in the entire dataset (%)	C	0	GENEPIO	GENEPIO:0001618		potential consideration if this could somehow fit to EDAM. Related to Imputation?/Extrapolation?	variableMeasured	recommended	many	variableMeasured : {"@type": "PropertyValue", "name": "Missing Value Count", "value": "0"}"
Record URL	Dataset	The URL of the record or archive of the synthetic dataset	M	https://www.kaggle.com/datasets/uciml/breast-cancer-wisconsin-data	EDAM	EDAM:data_1052	URL	NEW (to discuss with EDAM developers)	url	minimal	one	url: "https://zenodo.org/record/7305578"
