,Unnamed: 0.1,Unnamed: 0,date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
44,44,44,2021-03-07,SC,8754.0,7744.0,35,1010.0,20725.0,20725.0,579.0,66,,137.0,4657179.0,25856,106809.0,,4526263.0,,83.0,525865.0,449977.0,1408,0,28316.0,111239.0,,,580893.0,218863.0,,0,5183044.0,27264,135125.0,912838.0,,,,0,5107156.0,26282
45,45,45,2021-03-07,SD,1900.0,,2,,6705.0,6705.0,72.0,13,,9.0,314540.0,524,,,,,6.0,113589.0,100690.0,211,0,,,,,105096.0,109531.0,,0,701924.0,1275,,,,,428129.0,735,701924.0,1275
46,46,46,2021-03-07,TN,11543.0,9278.0,0,2265.0,18870.0,18870.0,851.0,0,,218.0,,0,,,6119050.0,,127.0,782206.0,653905.0,0,0,,140582.0,,,753695.0,756793.0,,0,6872745.0,0,,1430665.0,,,,0,6872745.0,0
47,47,47,2021-03-07,TX,44451.0,,84,,,,4721.0,0,,1463.0,,0,,,,,,2686818.0,2320857.0,2953,0,159003.0,211014.0,,,2628176.0,2502609.0,,0,19907384.0,76040,1033285.0,2664340.0,,,,0,19907384.0,76040
48,48,48,2021-03-07,UT,1976.0,,1,,14891.0,14891.0,212.0,24,2344.0,73.0,1560293.0,3204,,,2564131.0,822.0,,374850.0,,412,0,,60158.0,,57683.0,345990.0,358958.0,,0,2910121.0,6828,,1002177.0,,371319.0,1876802.0,3460,2910121.0,6828
49,49,49,2021-03-07,VA,9596.0,8104.0,77,1492.0,24661.0,24661.0,1127.0,24,,258.0,,0,,,,,168.0,585700.0,461172.0,1163,0,28980.0,125061.0,,,562266.0,,6038209.0,19925,6038209.0,19925,224284.0,1454389.0,,,,0,,0
50,50,50,2021-03-07,VI,25.0,25.0,0,,,,,0,,,46167.0,0,,,,,,2714.0,,0,0,,,,,,2559.0,,0,48881.0,0,,,,,48961.0,0,,0
51,51,51,2021-03-07,VT,208.0,,0,,,,31.0,0,,1.0,320060.0,643,,,,,,16083.0,15635.0,119,0,,,,,,13384.0,,0,1124215.0,8748,,,,,335695.0,759,1124215.0,8748
52,52,52,2021-03-07,WA,5041.0,,0,,19599.0,19599.0,431.0,43,,98.0,,0,,,5068404.0,,43.0,344532.0,325053.0,664,0,,,,,324994.0,,5393756.0,24040,5393756.0,24040,,,,,,0,,0
53,53,53,2021-03-07,WI,7106.0,6481.0,4,625.0,26457.0,26457.0,249.0,25,2273.0,66.0,2647864.0,3521,,,,,,621654.0,566693.0,377,0,,,,,,553203.0,7080595.0,19193,7080595.0,19193,,,,,3214557.0,3850,,0
54,54,54,2021-03-07,WV,2325.0,1981.0,2,344.0,,,179.0,0,,40.0,,0,,,,,26.0,133445.0,106629.0,155,0,,,,,,125383.0,,0,2236551.0,6449,33011.0,,,,,0,2236551.0,6449
55,55,55,2021-03-07,WY,682.0,,0,,1391.0,1391.0,21.0,0,,,182264.0,0,,,602513.0,,,54764.0,46397.0,0,0,,,,,38993.0,53550.0,,0,649293.0,0,,,,,228661.0,0,649293.0,0
56,56,56,2021-03-06,AK,305.0,,0,,1293.0,1293.0,33.0,0,,,,0,,,1660758.0,,2.0,56886.0,,0,0,,,,,68693.0,,,0,1731628.0,0,,,,,,0,1731628.0,0
57,57,57,2021-03-06,AL,10149.0,7963.0,27,2186.0,45976.0,45976.0,526.0,0,2675.0,,1929624.0,4866,,,,1514.0,,499411.0,391817.0,524,0,,,,,,295690.0,,0,2321441.0,5314,,,119456.0,,2321441.0,5314,,0
58,58,58,2021-03-06,AR,5297.0,4302.0,14,995.0,14915.0,14915.0,345.0,12,,148.0,2477449.0,4711,,,2477449.0,1533.0,75.0,324653.0,255613.0,327,0,,,,81756.0,,315181.0,,0,2733062.0,4959,,,,479963.0,,0,2733062.0,4959
59,59,59,2021-03-06,AS,0.0,,0,,,,,0,,,2140.0,0,,,,,,0.0,0.0,0,0,,,,,,,,0,2140.0,0,,,,,,0,2140.0,0
60,60,60,2021-03-06,AZ,16323.0,14395.0,54,1928.0,57863.0,57863.0,966.0,44,,280.0,3059332.0,8442,,,,,140.0,825119.0,768757.0,1735,0,,,,,,,,0,7862995.0,35425,580318.0,,443336.0,,3828089.0,9639,7862995.0,35425
61,61,61,2021-03-06,CA,53866.0,,418,,,,4513.0,0,,1221.0,,0,,,,,,3497578.0,3497578.0,4452,0,,,,,,,,0,49512828.0,218325,,,,,,0,49512828.0,218325
62,62,62,2021-03-06,CO,5986.0,5251.0,0,735.0,23886.0,23886.0,326.0,23,,,2199458.0,5505,368326.0,,,,,435762.0,410976.0,1108,0,62612.0,,,,,,6376960.0,33600,6376960.0,33600,433082.0,,,,2610434.0,6427,,0
63,63,63,2021-03-06,CT,7704.0,6327.0,0,1377.0,,,428.0,0,,,,0,,,6188566.0,,,285330.0,265709.0,0,0,,22245.0,,,323284.0,,,0,6520366.0,0,,396680.0,,,,0,6520366.0,0
64,64,64,2021-03-06,DC,1030.0,,3,,,,150.0,0,,40.0,,0,,,,,15.0,41273.0,,151,0,,,,,,29470.0,1255637.0,8000,1255637.0,8000,,,,,440793.0,1280,,0
65,65,65,2021-03-06,DE,1464.0,1328.0,11,136.0,,,114.0,0,,12.0,544153.0,1362,,,,,,88139.0,83424.0,265,0,,,,,91685.0,,1426075.0,8757,1426075.0,8757,,,,,632292.0,1627,,0
66,66,66,2021-03-06,FL,32200.0,,107,,82145.0,82145.0,3352.0,243,,,9319872.0,23282,864153.0,816231.0,16841086.0,,,1905185.0,1545643.0,4587,0,190026.0,,178979.0,,2496909.0,,22274583.0,87820,22274583.0,87820,1054711.0,,995580.0,,11225057.0,27869,19430475.0,59303
67,67,67,2021-03-06,GA,17905.0,15597.0,90,2308.0,56762.0,56762.0,2071.0,135,9260.0,,,0,,,,,,1021778.0,827397.0,2269,0,77793.0,168005.0,,,802411.0,,,0,7340242.0,24765,481545.0,1478232.0,,,,0,7340242.0,24765
68,68,68,2021-03-06,GU,133.0,,0,,,,2.0,0,,1.0,112887.0,0,,,,,1.0,7749.0,7540.0,1,0,27.0,248.0,,,,7590.0,,0,120636.0,1,358.0,9299.0,,,,0,120426.0,0
69,69,69,2021-03-06,HI,444.0,444.0,1,,2226.0,2226.0,27.0,1,,5.0,,0,,,,,3.0,28646.0,27838.0,85,0,,,,,27726.0,,1141679.0,5284,1141679.0,5284,,,,,,0,,0
70,70,70,2021-03-06,IA,5552.0,,3,,,,170.0,0,,38.0,1043119.0,1515,,93873.0,2428315.0,,10.0,282127.0,282127.0,362,0,,60633.0,19635.0,57133.0,306056.0,319780.0,,0,1325246.0,1877,,1388623.0,113559.0,247775.0,1327640.0,1871,2749435.0,7094
71,71,71,2021-03-06,ID,1876.0,1649.0,0,227.0,7179.0,7179.0,150.0,15,1245.0,33.0,505429.0,504,,,,,,172827.0,140013.0,240,0,,,,,,95808.0,,0,645442.0,646,,123809.0,,,645442.0,646,1102848.0,2572
72,72,72,2021-03-06,IL,23002.0,20750.0,56,2252.0,,,1210.0,0,,261.0,,0,,,,,108.0,1197267.0,,2565,0,,,,,,,,0,18572096.0,79248,,,,,,0,18572096.0,79248
73,73,73,2021-03-06,IN,12726.0,12299.0,29,427.0,43153.0,43153.0,663.0,49,7586.0,118.0,2478513.0,5155,,,,,60.0,666516.0,,1231,0,,,,,759598.0,,,0,8212940.0,41718,,,,,3145029.0,6386,8212940.0,41718
74,74,74,2021-03-06,KS,4812.0,,0,,9387.0,9387.0,235.0,0,2554.0,50.0,974686.0,0,,,,411.0,22.0,295861.0,,0,0,,,,,,,,0,1270547.0,0,,602322.0,,,1270547.0,0,2525259.0,0
75,75,75,2021-03-06,KY,4806.0,4356.0,52,450.0,19451.0,19451.0,591.0,71,4034.0,171.0,,0,,,,,72.0,410184.0,313998.0,839,0,9929.0,37655.0,,,251921.0,48131.0,,0,3975672.0,5773,111886.0,509047.0,,,,0,3975672.0,5773
76,76,76,2021-03-06,LA,9716.0,9007.0,0,709.0,,,538.0,0,,,5241101.0,0,,,,,77.0,433045.0,371994.0,0,0,,,,,,415954.0,,0,5674146.0,0,,466494.0,,,,0,5613095.0,0
77,77,77,2021-03-06,MA,16374.0,16044.0,52,330.0,19713.0,19713.0,687.0,0,,176.0,4396764.0,7826,,,,,114.0,589931.0,557802.0,1722,0,,,15425.0,,666605.0,508745.0,,0,16728973.0,100359,,,156185.0,578153.0,4954566.0,9321,16728973.0,100359
78,78,78,2021-03-06,MD,7941.0,7759.0,11,182.0,35572.0,35572.0,830.0,194,,230.0,3032496.0,7547,,169779.0,,,,386610.0,386610.0,932,0,,,28360.0,,471762.0,9703.0,,0,8064462.0,40384,,,198139.0,,3419106.0,8479,8064462.0,40384
79,79,79,2021-03-06,ME,704.0,681.0,0,23.0,1566.0,1566.0,74.0,6,,20.0,,0,14232.0,,,,9.0,45635.0,35759.0,183,0,869.0,10646.0,,,41390.0,12838.0,,0,1652690.0,8103,15113.0,210929.0,,,,0,1652690.0,8103
80,80,80,2021-03-06,MI,16658.0,15666.0,57,992.0,,,866.0,0,,222.0,,0,,,9869602.0,,97.0,656072.0,596054.0,1692,0,,,,,752365.0,549881.0,,0,10621967.0,37232,537073.0,,,,,0,10621967.0,37232
81,81,81,2021-03-06,MN,6546.0,6272.0,12,274.0,25976.0,25976.0,224.0,38,5364.0,57.0,3050296.0,6988,,,,,,489116.0,464767.0,946,0,,,,,,475170.0,7086059.0,28026,7086059.0,28026,,448578.0,,,3515063.0,7786,,0
82,82,82,2021-03-06,MO,8161.0,,3,,,,1001.0,0,,198.0,1875633.0,3308,126755.0,,4015210.0,,136.0,480352.0,480352.0,386,0,24832.0,83481.0,,,530416.0,,,0,4555207.0,14140,151786.0,900275.0,135520.0,364697.0,2355985.0,3694,4555207.0,14140
83,83,83,2021-03-06,MP,2.0,2.0,0,,4.0,4.0,,0,,,17429.0,0,,,,,,144.0,144.0,0,0,,,,,,29.0,,0,17573.0,0,,,,,17542.0,0,26131.0,0
84,84,84,2021-03-06,MS,6805.0,4734.0,22,2071.0,9162.0,9162.0,419.0,0,,89.0,1459374.0,0,,,,,47.0,297321.0,184157.0,576,0,,,,,,278162.0,,0,1756695.0,576,81986.0,748339.0,,,,0,1642348.0,0
85,85,85,2021-03-06,MT,1381.0,,2,,4629.0,4629.0,63.0,19,,12.0,,0,,,,,6.0,100842.0,95336.0,186,0,,,,,,97801.0,,0,1101356.0,4443,,,,,,0,1101356.0,4443
86,86,86,2021-03-06,NC,11502.0,10169.0,56,1333.0,,,1179.0,0,,309.0,,0,,,,,,872176.0,759617.0,2027,0,,,,,,,,0,9688838.0,38654,,805924.0,,,,0,9688838.0,38654
87,87,87,2021-03-06,ND,1478.0,,0,,3878.0,3878.0,21.0,3,567.0,3.0,306021.0,111,,,,,,100357.0,94906.0,79,0,,,,,,98240.0,1424467.0,1930,1424467.0,1930,,156289.0,,,406378.0,190,1535606.0,2599
88,88,88,2021-03-06,NE,2113.0,,1,,6229.0,6229.0,136.0,3,,,770586.0,1354,,,2183243.0,,,202653.0,,343,0,,,,,235726.0,156825.0,,0,2421683.0,10138,,,,,973781.0,1701,2421683.0,10138
89,89,89,2021-03-06,NH,1181.0,,3,,1127.0,1127.0,90.0,1,348.0,,579186.0,1496,,,,,,76695.0,53939.0,273,0,,,,,,73327.0,,0,1481488.0,0,39484.0,201268.0,37902.0,,633125.0,1680,1481488.0,0
90,90,90,2021-03-06,NJ,23557.0,21160.0,36,2397.0,64338.0,64338.0,1862.0,-916,,382.0,10186941.0,0,,,,,233.0,810090.0,718873.0,3720,0,,,,,,,,0,10997031.0,3720,,,,,,0,10902830.0,0
91,91,91,2021-03-06,NM,3796.0,,9,,13242.0,13242.0,148.0,13,,,,0,,,,,,186742.0,,282,0,,,,,,155000.0,,0,2771840.0,13846,,,,,,0,2771840.0,13846
92,92,92,2021-03-06,NV,5036.0,,16,,,,399.0,0,,87.0,1129929.0,2551,,,,,48.0,295460.0,295960.0,0,0,,,,,,,2763991.0,9659,2763991.0,9659,,,,,1425889.0,3051,,0
93,93,93,2021-03-06,NY,38970.0,,79,,,,4954.0,0,,1012.0,,0,,,,,694.0,1674380.0,,7647,0,,,,,,,39467332.0,273132,39467332.0,273132,,,,,,0,,0
94,94,94,2021-03-06,OH,17656.0,14752.0,0,2594.0,50848.0,50848.0,922.0,66,7205.0,273.0,,0,,,,,188.0,977736.0,835856.0,1506,0,,86651.0,,,863985.0,923986.0,,0,10227868.0,40190,,1787169.0,,,,0,10227868.0,40190
95,95,95,2021-03-06,OK,4534.0,,0,,24277.0,24277.0,346.0,120,,100.0,3146300.0,11240,,,3146300.0,,,428536.0,,978,0,23139.0,,,,389855.0,411624.0,,0,3574836.0,12218,152279.0,,,,,0,3548479.0,11750
96,96,96,2021-03-06,OR,2293.0,,9,,8714.0,8714.0,158.0,15,,32.0,,0,,,3624001.0,,12.0,156884.0,,211,0,,,,,226972.0,,,0,3850973.0,52906,,,,,,0,3850973.0,52906
97,97,97,2021-03-06,PA,24317.0,,55,,,,1513.0,0,,314.0,3935532.0,9494,,,,,171.0,946985.0,813059.0,2789,0,,,,,,859218.0,10629284.0,0,10629284.0,0,,,,,4748591.0,11534,,0
98,98,98,2021-03-06,PR,2059.0,1749.0,3,310.0,,,147.0,0,,24.0,305972.0,0,,,395291.0,,18.0,101327.0,93336.0,261,0,84115.0,,,,20103.0,91987.0,,0,407299.0,261,,,,,,0,415664.0,0
99,99,99,2021-03-06,RI,2547.0,,6,,9020.0,9020.0,141.0,0,,25.0,676149.0,1634,,,2956871.0,,16.0,128516.0,,395,0,,,,,152964.0,,3109835.0,21854,3109835.0,21854,,,,,804665.0,2029,,0
100,100,100,2021-03-06,SC,8719.0,7711.0,20,1008.0,20659.0,20659.0,623.0,54,,157.0,4631323.0,27774,106601.0,,4501627.0,,86.0,524457.0,449151.0,1199,0,28174.0,110613.0,,,579247.0,218863.0,,0,5155780.0,28973,134775.0,902974.0,,,,0,5080874.0,29050
101,101,101,2021-03-06,SD,1898.0,,2,,6692.0,6692.0,74.0,11,,10.0,314016.0,756,,,,,7.0,113378.0,100533.0,149,0,,,,,105003.0,109371.0,,0,700649.0,2193,,,,,427394.0,905,700649.0,2193
102,102,102,2021-03-06,TN,11543.0,9278.0,9,2265.0,18870.0,18870.0,879.0,33,,223.0,,0,,,6119050.0,,127.0,782206.0,653905.0,1312,0,,140582.0,,,753695.0,756793.0,,0,6872745.0,16164,,1430665.0,,,,0,6872745.0,16164
103,103,103,2021-03-06,TX,44367.0,,233,,,,4921.0,0,,1503.0,,0,,,,,,2683865.0,2318522.0,5570,0,157037.0,211546.0,,,2622781.0,2491753.0,,0,19831344.0,11292,1025375.0,2630435.0,,,,0,19831344.0,11292
104,104,104,2021-03-06,UT,1975.0,,5,,14867.0,14867.0,216.0,26,2344.0,77.0,1557089.0,3556,,,2557616.0,822.0,,374438.0,,570,0,,60002.0,,57529.0,345677.0,358249.0,,0,2903293.0,8211,,1000187.0,,370352.0,1873342.0,3904,2903293.0,8211
105,105,105,2021-03-06,VA,9519.0,8090.0,91,1429.0,24637.0,24637.0,1164.0,123,,263.0,,0,,,,,160.0,584537.0,460273.0,1477,0,28805.0,124666.0,,,561305.0,,6018284.0,21456,6018284.0,21456,223817.0,1449641.0,,,,0,,0
106,106,106,2021-03-06,VI,25.0,25.0,0,,,,,0,,,46167.0,0,,,,,,2714.0,,0,0,,,,,,2559.0,,0,48881.0,0,,,,,48961.0,0,,0
107,107,107,2021-03-06,VT,208.0,,1,,,,26.0,0,,2.0,319417.0,697,,,,,,15964.0,15519.0,145,0,,,,,,13305.0,,0,1115467.0,8171,,,,,334936.0,840,1115467.0,8171
